Test Name,Chapter,Question ID,Question,Option A,Option B,Option C,Option D,Correct Answer,Section Reference
"Chapter 8: Accuracy Landing - Regional Test",AL,1,"What is the diameter of the dead-center target on the AMD?","1 cm","2 cm","3 cm","5 cm","2 cm","8.1.3.1.1"
"Chapter 8: Accuracy Landing - Regional Test",AL,2,"What is the exit altitude for Individual Accuracy Landing?","2,500 feet","3,000 feet","3,500 feet","4,000 feet","3,000 feet","8.1.5.3"
"Chapter 8: Accuracy Landing - Regional Test",AL,3,"What is the exit altitude for Team Accuracy?","3,000 feet","3,500 feet","4,000 feet","4,500 feet","3,500 feet","8.1.5.4.1"
"Chapter 8: Accuracy Landing - Regional Test",AL,4,"What is the maximum scheduled number of rounds for Individual Accuracy Landing?","Six","Eight","Ten","Twelve","Ten","8.1.6.1"
"Chapter 8: Accuracy Landing - Regional Test",AL,5,"What is the maximum scheduled number of rounds for Team Accuracy?","Six","Eight","Ten","Twelve","Eight","8.1.6.2"
"Chapter 8: Accuracy Landing - Regional Test",AL,6,"At what wind speed must wind be monitored constantly and documented every 2 minutes?","2 m/s","3 m/s","5 m/s","6 m/s","3 m/s","8.1.7.2"
"Chapter 8: Accuracy Landing - Regional Test",AL,7,"What is the range for maximum allowable wind speed set by officials?","4-6 m/s","5-7 m/s","6-7.5 m/s","7-9 m/s","6-7.5 m/s","8.1.7.3"
"Chapter 8: Accuracy Landing - Regional Test",AL,8,"A landing off the AMD is scored as what distance?","10 cm","15 cm","16 cm","20 cm","16 cm","8.1.8.1.2"
"Chapter 8: Accuracy Landing - Regional Test",AL,9,"If a competitor lands on unreset AMD due to insufficient team separation, what score is given?","10 cm","15 cm","16 cm","Rejump","15 cm","8.1.8.2.3"
"Chapter 8: Accuracy Landing - Regional Test",AL,10,"How many principal judges are required at the target for Accuracy Landing?","Two","Three","Four","Five","Three","8.1.9.1"
"Chapter 8: Accuracy Landing - Regional Test",AL,11,"What is the radius of the marked circle the AMD must be centered within?","10 meters","15 meters","20 meters","25 meters","20 meters","8.1.10.3"
"Chapter 8: Accuracy Landing - Regional Test",AL,12,"What is the minimum thickness of the foam tuffet?","20 cm","25 cm","30 cm","35 cm","30 cm","8.1.10.3.2"
"Chapter 8: Accuracy Landing - Regional Test",AL,13,"What is the approximate diameter of the tuffet?","3 meters","4 meters","5 meters","6 meters","5 meters","8.1.10.3.2"
